genome	protein_id	signalp_class	cs_after	cs_prob	length	label	is_mesophile	tagged_id	split
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000067.1_3 # 2324 # 3436 # -1 # ID=1_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.633	LIPO	19	0.5393	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000067.1_3 # 2324 # 3436 # -1 # ID=1_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.633	train
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000014.1_1 # 140 # 2773 # -1 # ID=2_1;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.599	LIPO	20	0.9943	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000014.1_1 # 140 # 2773 # -1 # ID=2_1;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.599	train
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000014.1_15 # 13940 # 15727 # 1 # ID=2_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.601	SP	34	0.7315	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000014.1_15 # 13940 # 15727 # 1 # ID=2_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.601	train
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000014.1_20 # 20318 # 20785 # 1 # ID=2_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.598	SP	30	0.4625	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000014.1_20 # 20318 # 20785 # 1 # ID=2_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.598	train
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000014.1_24 # 24485 # 25507 # -1 # ID=2_24;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.601	LIPO	10	0.4688	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000014.1_24 # 24485 # 25507 # -1 # ID=2_24;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.601	train
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000014.1_30 # 31290 # 33425 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.595	LIPO	29	0.9839	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000014.1_30 # 31290 # 33425 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.595	train
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000015.1_1 # 3 # 134 # -1 # ID=4_1;partial=10;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.621	LIPO	28	0.9135	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000015.1_1 # 3 # 134 # -1 # ID=4_1;partial=10;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.621	train
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000015.1_5 # 1863 # 3176 # -1 # ID=4_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.596	LIPO	17	0.9968	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000015.1_5 # 1863 # 3176 # -1 # ID=4_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.596	train
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000015.1_19 # 15959 # 16531 # -1 # ID=4_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.600	SP	24	0.9777	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000015.1_19 # 15959 # 16531 # -1 # ID=4_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.600	train
GB_GCA_002050035.1	GB_GCA_002050035.1~MVCR01000015.1_20 # 16619 # 20302 # 1 # ID=4_20;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.603	LIPO	18	0.995	0	hyperthermophile	False	GB_GCA_002050035.1~GB_GCA_002050035.1~MVCR01000015.1_20 # 16619 # 20302 # 1 # ID=4_20;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.603	train
